[23/05/2026 16:04:25] TEST - Asset ID: 7 | IP: 192.168.56.101 | RESULT: DOWN (No Response)
[23/05/2026 16:04:44] TEST - Asset ID: 1 | IP: 192.168.10.1 | RESULT: DOWN (No Response)
[23/05/2026 16:16:55] TEST - Asset ID: 1 | IP: 127.0.0.1 | RESULT: DOWN (No Response)
[23/05/2026 16:19:11] TEST - Asset ID: 1 | IP: 127.0.0.1 | RESULT: UP (Responded)
[23/05/2026 16:25:24] TEST - Asset ID: 1 | IP: 127.0.0.1 | RESULT: UP (Responded)
[23/05/2026 16:25:42] TEST - Asset ID: 2 | IP: 192.168.254.254 | RESULT: DOWN (No Response)
[23/05/2026 16:25:46] TEST - Asset ID: 3 | IP: 1.1.1.1 | RESULT: UP (Responded)
[23/05/2026 16:25:49] TEST - Asset ID: 4 | IP: 8.8.8.8 | RESULT: UP (Responded)
[23/05/2026 16:26:07] TEST - Asset ID: 5 | IP: 10.255.255.1 | RESULT: DOWN (No Response)
[23/05/2026 16:26:11] TEST - Asset ID: 6 | IP: 9.9.9.9 | RESULT: UP (Responded)
